incident_id,date,time,datetime,latitude,longitude,force_type,incident_type,subject_age,subject_race,subject_gender,officer_age,officer_gender,officer_years_experience,weapon_present,injury_level,body_camera_on
UOF-01032,2021-01-14,18:24:00,2021-01-14 18:24:00,30.267814,-97.740072,Hands-On,Traffic Stop,36,White,Male,45,Male,3,No,Moderate,Yes
UOF-02343,2021-01-15,06:02:00,2021-01-15 06:02:00,30.2403,-97.721443,Taser,Suspicious Activity,36,Black,Male,42,Male,3,No,Severe,Yes
UOF-00356,2021-01-15,18:07:00,2021-01-15 18:07:00,30.262653,-97.839174,Hands-On,Domestic Violence,25,Hispanic,Male,34,Male,7,Yes,None,Yes
UOF-03752,2021-01-15,18:22:00,2021-01-15 18:22:00,30.189124,-97.757604,Hands-On,Warrant Service,33,White,Male,44,Male,3,No,None,Yes
UOF-02456,2021-01-15,19:37:00,2021-01-15 19:37:00,30.213781,-97.734274,Hands-On,Traffic Stop,30,Black,Female,25,Male,6,No,Moderate,Yes
UOF-00712,2021-01-15,19:50:00,2021-01-15 19:50:00,30.259795,-97.753795,Hands-On,Traffic Stop,43,Black,Female,47,Male,5,Yes,Minor,Yes
UOF-00331,2021-01-16,18:13:00,2021-01-16 18:13:00,30.329977,-97.662526,Firearm,Traffic Stop,33,Black,Male,41,Female,4,Yes,Minor,Yes
UOF-03951,2021-01-16,18:57:00,2021-01-16 18:57:00,30.305602,-97.765378,Hands-On,Disturbance Call,56,Black,Male,42,Female,8,No,None,Yes
UOF-02197,2021-01-17,10:27:00,2021-01-17 10:27:00,30.266265,-97.835245,Firearm,Disturbance Call,24,Black,Female,25,Male,23,Yes,None,Yes
UOF-01654,2021-01-17,13:13:00,2021-01-17 13:13:00,30.355134,-97.761199,Hands-On,Warrant Service,47,White,Male,36,Male,7,Yes,None,Yes
UOF-03434,2021-01-17,16:06:00,2021-01-17 16:06:00,30.278408,-97.830333,Hands-On,Mental Health Crisis,45,Black,Male,35,Male,3,Yes,None,Yes
UOF-00759,2021-01-17,16:18:00,2021-01-17 16:18:00,30.357735,-97.752872,Taser,Disturbance Call,49,Hispanic,Male,43,Male,8,Yes,None,No
UOF-03681,2021-01-17,17:30:00,2021-01-17 17:30:00,30.267506,-97.827137,Hands-On,Traffic Stop,24,Black,Male,42,Male,3,No,Severe,Yes
UOF-00082,2021-01-17,18:43:00,2021-01-17 18:43:00,30.272555,-97.756137,Baton,Mental Health Crisis,40,Hispanic,Female,33,Male,12,Yes,Moderate,Yes
UOF-02084,2021-01-17,18:48:00,2021-01-17 18:48:00,30.301106,-97.666041,Taser,Traffic Stop,39,Hispanic,Male,32,Male,14,Yes,None,Yes
UOF-03757,2021-01-17,19:08:00,2021-01-17 19:08:00,30.191326,-97.781103,Taser,Disturbance Call,68,White,Male,46,Male,9,No,None,No
UOF-00025,2021-01-17,19:35:00,2021-01-17 19:35:00,30.355992,-97.764531,Baton,Mental Health Crisis,69,White,Female,41,Male,12,No,None,Yes
UOF-01589,2021-01-17,23:48:00,2021-01-17 23:48:00,30.247249,-97.84479,Hands-On,Traffic Stop,36,White,Female,39,Male,1,No,Moderate,No
UOF-00642,2021-01-18,06:23:00,2021-01-18 06:23:00,30.318576,-97.628319,Hands-On,Traffic Stop,53,White,Female,40,Male,5,No,None,Yes
UOF-04921,2021-01-18,11:54:00,2021-01-18 11:54:00,30.285982,-97.694484,Taser,Pursuit,24,Hispanic,Male,28,Male,6,Yes,None,Yes
UOF-02466,2021-01-18,18:30:00,2021-01-18 18:30:00,30.333215,-97.62408,Taser,Pursuit,55,White,Female,30,Male,7,Yes,Minor,Yes
UOF-03861,2021-01-18,20:21:00,2021-01-18 20:21:00,30.359888,-97.742641,Hands-On,Domestic Violence,39,Black,Female,36,Male,4,No,None,Yes
UOF-01040,2021-01-19,06:09:00,2021-01-19 06:09:00,30.29589,-97.726395,Taser,Traffic Stop,59,Hispanic,Female,43,Male,4,No,Moderate,Yes
UOF-03030,2021-01-19,06:57:00,2021-01-19 06:57:00,30.334044,-97.687932,Hands-On,Suspicious Activity,37,White,Male,47,Female,15,Yes,None,Yes
UOF-01773,2021-01-19,12:43:00,2021-01-19 12:43:00,30.309663,-97.703151,Hands-On,Warrant Service,33,White,Male,43,Male,11,No,Minor,Yes
UOF-04885,2021-01-19,18:17:00,2021-01-19 18:17:00,30.290689,-97.738269,Chemical Spray,Disturbance Call,40,Other,Male,43,Male,3,No,Minor,Yes
UOF-01640,2021-01-19,20:47:00,2021-01-19 20:47:00,30.354648,-97.741819,Firearm,Pursuit,36,Black,Male,33,Male,0,Yes,None,Yes
UOF-03692,2021-01-19,21:50:00,2021-01-19 21:50:00,30.246175,-97.806959,Hands-On,Disturbance Call,40,White,Male,32,Male,5,No,None,Yes
UOF-01757,2021-01-20,09:23:00,2021-01-20 09:23:00,30.289728,-97.745072,K-9,Domestic Violence,68,Other,Male,38,Male,5,Yes,Minor,Yes
UOF-00299,2021-01-20,12:42:00,2021-01-20 12:42:00,30.283208,-97.728014,Taser,Pursuit,56,White,Female,43,Male,4,Yes,None,Yes
UOF-04410,2021-01-20,18:17:00,2021-01-20 18:17:00,30.240923,-97.767153,Hands-On,Mental Health Crisis,53,Black,Male,32,Male,16,Yes,None,Yes
UOF-00080,2021-01-20,21:29:00,2021-01-20 21:29:00,30.353425,-97.793182,Taser,Disturbance Call,46,White,Male,33,Male,4,No,None,Yes
UOF-02995,2021-01-20,21:34:00,2021-01-20 21:34:00,30.339025,-97.729278,Hands-On,Domestic Violence,32,Hispanic,Male,32,Male,7,Yes,None,Yes
UOF-04270,2021-01-21,06:27:00,2021-01-21 06:27:00,30.259541,-97.807934,Firearm,Mental Health Crisis,63,White,Male,39,Female,4,No,Moderate,Yes
UOF-03085,2021-01-21,08:43:00,2021-01-21 08:43:00,30.156581,-97.767582,Taser,Domestic Violence,35,Hispanic,Female,45,Male,10,No,Minor,Yes
UOF-02727,2021-01-21,08:55:00,2021-01-21 08:55:00,30.190177,-97.691167,Taser,Disturbance Call,41,Hispanic,Male,41,Female,7,No,Minor,No
UOF-03326,2021-01-21,18:09:00,2021-01-21 18:09:00,30.257569,-97.716905,Baton,Mental Health Crisis,53,White,Male,25,Male,5,No,Minor,Yes
UOF-01786,2021-01-21,19:59:00,2021-01-21 19:59:00,30.2574,-97.749725,Taser,Traffic Stop,43,Hispanic,Male,28,Male,5,No,None,Yes
UOF-02629,2021-01-22,12:33:00,2021-01-22 12:33:00,30.128078,-97.775252,Hands-On,Traffic Stop,50,Other,Female,31,Male,4,No,None,Yes
UOF-01893,2021-01-22,12:55:00,2021-01-22 12:55:00,30.367264,-97.650373,Chemical Spray,Disturbance Call,38,Asian,Male,51,Female,11,No,None,Yes
UOF-01098,2021-01-22,18:25:00,2021-01-22 18:25:00,30.306786,-97.741636,Taser,Domestic Violence,56,Black,Male,41,Male,3,Yes,None,Yes
UOF-01178,2021-01-22,19:37:00,2021-01-22 19:37:00,30.282881,-97.735683,Baton,Warrant Service,28,Black,Male,45,Male,3,Yes,None,Yes
UOF-00344,2021-01-22,19:54:00,2021-01-22 19:54:00,30.301209,-97.787277,Taser,Traffic Stop,30,Hispanic,Male,34,Male,3,Yes,None,Yes
UOF-01517,2021-01-23,05:13:00,2021-01-23 05:13:00,30.200215,-97.749539,Hands-On,Disturbance Call,23,White,Male,43,Male,2,No,None,Yes
UOF-03901,2021-01-23,05:35:00,2021-01-23 05:35:00,30.208662,-97.735541,Hands-On,Pursuit,44,Hispanic,Male,39,Female,17,No,Moderate,Yes
UOF-02776,2021-01-23,18:09:00,2021-01-23 18:09:00,30.279753,-97.623418,Hands-On,Warrant Service,41,Black,Female,43,Male,3,No,None,No
UOF-00687,2021-01-23,19:09:00,2021-01-23 19:09:00,30.193484,-97.772636,Hands-On,Traffic Stop,39,White,Male,44,Male,20,Yes,Minor,Yes
UOF-02762,2021-01-23,20:36:00,2021-01-23 20:36:00,30.185197,-97.737834,Hands-On,Disturbance Call,51,Other,Female,43,Male,7,Yes,None,Yes
UOF-02001,2021-01-24,09:52:00,2021-01-24 09:52:00,30.205617,-97.844848,Hands-On,Traffic Stop,34,Hispanic,Male,36,Male,10,Yes,Minor,Yes
UOF-00010,2021-01-24,19:07:00,2021-01-24 19:07:00,30.254889,-97.798724,Chemical Spray,Disturbance Call,59,Hispanic,Male,29,Male,7,Yes,None,Yes
UOF-01701,2021-01-25,07:25:00,2021-01-25 07:25:00,30.191207,-97.72283,Taser,Suspicious Activity,32,White,Male,34,Male,10,Yes,None,Yes
UOF-01511,2021-01-25,08:57:00,2021-01-25 08:57:00,30.257888,-97.849785,Hands-On,Traffic Stop,35,White,Male,52,Male,3,No,None,No
UOF-00672,2021-01-25,16:32:00,2021-01-25 16:32:00,30.297584,-97.650479,Firearm,Domestic Violence,34,White,Male,28,Male,11,Yes,None,Yes
UOF-00901,2021-01-26,06:36:00,2021-01-26 06:36:00,30.348428,-97.728142,Chemical Spray,Disturbance Call,49,Hispanic,Male,30,Male,10,No,None,Yes
UOF-00978,2021-01-26,07:08:00,2021-01-26 07:08:00,30.305973,-97.818737,Taser,Traffic Stop,32,Hispanic,Male,38,Male,19,No,Minor,Yes
UOF-00240,2021-01-26,10:30:00,2021-01-26 10:30:00,30.351769,-97.767928,Hands-On,Suspicious Activity,41,White,Male,27,Female,7,Yes,Moderate,Yes
UOF-03574,2021-01-26,15:16:00,2021-01-26 15:16:00,30.311566,-97.780496,Chemical Spray,Traffic Stop,30,Hispanic,Female,41,Male,12,Yes,Moderate,Yes
UOF-04776,2021-01-26,18:13:00,2021-01-26 18:13:00,30.32098,-97.698617,Hands-On,Traffic Stop,70,Asian,Male,35,Male,15,No,None,Yes
UOF-02833,2021-01-26,19:09:00,2021-01-26 19:09:00,30.315446,-97.765626,Hands-On,Warrant Service,27,Asian,Male,35,Male,17,No,None,Yes
UOF-01873,2021-01-26,19:20:00,2021-01-26 19:20:00,30.357733,-97.701813,Hands-On,Traffic Stop,37,White,Male,34,Male,2,No,Minor,Yes
UOF-04683,2021-01-27,01:30:00,2021-01-27 01:30:00,30.111385,-97.738509,Taser,Traffic Stop,65,Other,Female,28,Male,11,No,Moderate,Yes
UOF-01806,2021-01-27,05:10:00,2021-01-27 05:10:00,30.30132,-97.634116,Hands-On,Disturbance Call,46,White,Male,55,Male,5,No,Minor,Yes
UOF-01063,2021-01-27,06:51:00,2021-01-27 06:51:00,30.194287,-97.771275,Hands-On,Pursuit,35,Black,Male,36,Male,1,Yes,Minor,Yes
UOF-03116,2021-01-27,14:31:00,2021-01-27 14:31:00,30.30766,-97.815078,Taser,Domestic Violence,58,Black,Male,34,Male,12,No,None,Yes
UOF-02023,2021-01-27,17:30:00,2021-01-27 17:30:00,30.322426,-97.720317,Firearm,Disturbance Call,37,Black,Male,37,Male,10,Yes,Minor,Yes
UOF-03733,2021-01-27,17:44:00,2021-01-27 17:44:00,30.287456,-97.853253,Chemical Spray,Traffic Stop,45,Hispanic,Male,41,Male,6,No,None,No
UOF-01514,2021-01-27,18:25:00,2021-01-27 18:25:00,30.275544,-97.871877,Hands-On,Mental Health Crisis,39,Asian,Male,40,Male,4,No,None,Yes
UOF-02356,2021-01-27,21:40:00,2021-01-27 21:40:00,30.284663,-97.760917,Taser,Pursuit,24,White,Female,36,Male,6,Yes,None,Yes
UOF-00934,2021-01-28,02:01:00,2021-01-28 02:01:00,30.252085,-97.80628,Hands-On,Warrant Service,26,Black,Male,30,Male,8,Yes,None,Yes
UOF-01884,2021-01-28,07:24:00,2021-01-28 07:24:00,30.23653,-97.754972,Chemical Spray,Traffic Stop,57,White,Male,40,Male,6,No,None,Yes
UOF-02656,2021-01-28,10:47:00,2021-01-28 10:47:00,30.170888,-97.801602,Chemical Spray,Domestic Violence,39,Hispanic,Male,34,Male,8,No,Minor,Yes
UOF-02091,2021-01-28,16:23:00,2021-01-28 16:23:00,30.323663,-97.755584,Taser,Traffic Stop,45,White,Male,25,Male,5,No,None,No
UOF-03472,2021-01-28,19:07:00,2021-01-28 19:07:00,30.28604,-97.691943,K-9,Domestic Violence,44,Black,Male,30,Male,1,No,Moderate,Yes
UOF-01778,2021-01-29,06:56:00,2021-01-29 06:56:00,30.336434,-97.722139,Hands-On,Warrant Service,38,Black,Male,55,Male,10,No,None,Yes
UOF-02602,2021-01-29,08:47:00,2021-01-29 08:47:00,30.222354,-97.728156,Hands-On,Pursuit,39,Hispanic,Male,42,Male,9,No,Fatal,Yes
UOF-03357,2021-01-29,11:44:00,2021-01-29 11:44:00,30.331837,-97.749295,Taser,Domestic Violence,38,Other,Female,39,Male,6,No,None,Yes
UOF-00417,2021-01-29,13:51:00,2021-01-29 13:51:00,30.263083,-97.758032,Hands-On,Disturbance Call,38,Black,Male,25,Male,2,Yes,Minor,Yes
UOF-03487,2021-01-29,14:56:00,2021-01-29 14:56:00,30.215811,-97.745439,Firearm,Suspicious Activity,36,Black,Female,38,Male,6,No,None,Yes
UOF-04363,2021-01-30,06:12:00,2021-01-30 06:12:00,30.334585,-97.602354,Taser,Traffic Stop,29,White,Male,44,Male,9,No,None,Yes
UOF-01717,2021-01-30,14:21:00,2021-01-30 14:21:00,30.261826,-97.736147,Firearm,Traffic Stop,23,Hispanic,Male,37,Male,14,Yes,None,Yes
UOF-02479,2021-01-30,20:20:00,2021-01-30 20:20:00,30.265618,-97.734019,Hands-On,Suspicious Activity,66,Black,Male,39,Female,9,No,None,Yes
UOF-03459,2021-01-30,21:34:00,2021-01-30 21:34:00,30.281994,-97.786696,Hands-On,Domestic Violence,35,Black,Female,45,Female,10,No,Minor,Yes
UOF-04979,2021-01-31,05:39:00,2021-01-31 05:39:00,30.273147,-97.789645,Hands-On,Pursuit,39,Hispanic,Male,26,Male,7,Yes,Minor,Yes
UOF-00093,2021-01-31,14:50:00,2021-01-31 14:50:00,30.320482,-97.641327,Taser,Disturbance Call,46,White,Male,39,Male,9,No,None,Yes
UOF-01832,2021-01-31,16:51:00,2021-01-31 16:51:00,30.28361,-97.783261,Taser,Warrant Service,40,Hispanic,Male,31,Male,9,No,Minor,Yes
UOF-00429,2021-01-31,21:26:00,2021-01-31 21:26:00,30.284054,-97.656484,Chemical Spray,Mental Health Crisis,57,Other,Female,33,Female,8,Yes,None,Yes
UOF-00900,2021-02-01,11:43:00,2021-02-01 11:43:00,30.350028,-97.774191,Hands-On,Warrant Service,31,White,Male,52,Male,4,No,None,Yes
UOF-01759,2021-02-01,12:14:00,2021-02-01 12:14:00,30.262925,-97.763166,Hands-On,Traffic Stop,36,Black,Male,27,Male,12,No,None,Yes
UOF-02585,2021-02-01,19:11:00,2021-02-01 19:11:00,30.15185,-97.77598,Baton,Domestic Violence,32,White,Male,51,Male,6,No,None,No
UOF-02871,2021-02-01,21:17:00,2021-02-01 21:17:00,30.265088,-97.726167,Baton,Domestic Violence,46,White,Male,51,Male,11,No,None,Yes
UOF-04411,2021-02-02,06:19:00,2021-02-02 06:19:00,30.248971,-97.72664,Firearm,Domestic Violence,31,Black,Male,35,Male,14,No,None,Yes
UOF-00177,2021-02-02,10:04:00,2021-02-02 10:04:00,30.279095,-97.726032,Taser,Domestic Violence,49,Black,Male,40,Male,7,No,Moderate,Yes
UOF-02118,2021-02-02,14:56:00,2021-02-02 14:56:00,30.254262,-97.700231,Hands-On,Domestic Violence,37,Other,Male,25,Male,9,No,None,Yes
UOF-04395,2021-02-02,19:59:00,2021-02-02 19:59:00,30.302089,-97.766992,Taser,Domestic Violence,53,Black,Male,43,Male,10,No,Minor,Yes
UOF-02873,2021-02-02,23:32:00,2021-02-02 23:32:00,30.198743,-97.74909,Taser,Disturbance Call,66,White,Female,39,Male,4,Yes,None,Yes
UOF-01604,2021-02-03,05:45:00,2021-02-03 05:45:00,30.336116,-97.680807,Baton,Traffic Stop,28,Hispanic,Male,34,Male,8,Yes,None,Yes
UOF-01969,2021-02-03,06:55:00,2021-02-03 06:55:00,30.197692,-97.81722,Taser,Domestic Violence,54,White,Male,34,Male,12,No,None,Yes
UOF-01280,2021-02-03,19:06:00,2021-02-03 19:06:00,30.252023,-97.808698,Firearm,Mental Health Crisis,60,White,Male,34,Female,9,No,None,Yes
UOF-02617,2021-02-03,21:41:00,2021-02-03 21:41:00,30.212919,-97.777399,Hands-On,Disturbance Call,32,Hispanic,Female,44,Male,7,No,None,Yes
UOF-04097,2021-02-04,00:50:00,2021-02-04 00:50:00,30.359314,-97.677852,Taser,Disturbance Call,38,White,Male,36,Male,3,Yes,None,Yes
UOF-02252,2021-02-04,08:07:00,2021-02-04 08:07:00,30.350543,-97.748506,Firearm,Mental Health Crisis,65,Black,Male,34,Male,12,Yes,Minor,Yes
UOF-02531,2021-02-04,08:27:00,2021-02-04 08:27:00,30.12957,-97.723422,Taser,Traffic Stop,28,Other,Female,30,Male,11,No,None,Yes
UOF-01053,2021-02-04,08:47:00,2021-02-04 08:47:00,30.370271,-97.758922,Taser,Pursuit,39,Hispanic,Male,41,Male,6,No,Minor,Yes
UOF-01266,2021-02-04,16:46:00,2021-02-04 16:46:00,30.31204,-97.663824,Hands-On,Mental Health Crisis,46,Other,Female,28,Male,5,No,Minor,Yes
UOF-01708,2021-02-04,18:19:00,2021-02-04 18:19:00,30.217939,-97.743351,Chemical Spray,Traffic Stop,53,Black,Male,37,Male,3,No,Minor,Yes
UOF-01302,2021-02-04,20:49:00,2021-02-04 20:49:00,30.305411,-97.825123,Hands-On,Disturbance Call,56,White,Male,42,Male,7,Yes,None,Yes
UOF-03740,2021-02-04,21:22:00,2021-02-04 21:22:00,30.263036,-97.780619,Taser,Mental Health Crisis,30,Hispanic,Female,35,Male,13,No,None,Yes
UOF-01638,2021-02-04,23:52:00,2021-02-04 23:52:00,30.313028,-97.625151,Chemical Spray,Domestic Violence,33,Black,Male,41,Male,4,No,Moderate,Yes
UOF-01626,2021-02-05,12:04:00,2021-02-05 12:04:00,30.280902,-97.725418,Hands-On,Warrant Service,36,Black,Male,40,Male,6,Yes,Minor,No
UOF-02098,2021-02-05,12:37:00,2021-02-05 12:37:00,30.230893,-97.736844,Taser,Disturbance Call,27,White,Female,27,Male,11,Yes,None,Yes
UOF-03743,2021-02-05,16:35:00,2021-02-05 16:35:00,30.295103,-97.803189,Hands-On,Domestic Violence,40,Hispanic,Male,25,Male,7,No,None,No
UOF-01934,2021-02-05,16:54:00,2021-02-05 16:54:00,30.348398,-97.752384,Hands-On,Pursuit,40,White,Male,42,Male,8,No,None,Yes
UOF-00854,2021-02-05,18:18:00,2021-02-05 18:18:00,30.284673,-97.659418,Taser,Traffic Stop,38,White,Male,42,Male,4,No,None,Yes
UOF-04312,2021-02-05,20:46:00,2021-02-05 20:46:00,30.205716,-97.758822,Hands-On,Disturbance Call,25,White,Male,47,Male,7,No,Minor,Yes
UOF-03934,2021-02-05,21:19:00,2021-02-05 21:19:00,30.298995,-97.848641,Taser,Disturbance Call,49,White,Male,35,Male,7,Yes,Moderate,Yes
UOF-03598,2021-02-06,05:42:00,2021-02-06 05:42:00,30.2135,-97.754098,Baton,Mental Health Crisis,32,White,Male,34,Male,4,Yes,Minor,Yes
UOF-03216,2021-02-06,07:24:00,2021-02-06 07:24:00,30.277687,-97.821728,Hands-On,Mental Health Crisis,30,Black,Male,45,Female,5,Yes,Minor,Yes
UOF-00295,2021-02-06,19:40:00,2021-02-06 19:40:00,30.333868,-97.660413,Hands-On,Disturbance Call,37,Hispanic,Male,36,Male,15,No,None,Yes
UOF-04649,2021-02-06,20:27:00,2021-02-06 20:27:00,30.257983,-97.762177,Firearm,Mental Health Crisis,32,Hispanic,Male,42,Male,6,Yes,None,Yes
UOF-04578,2021-02-06,22:04:00,2021-02-06 22:04:00,30.320147,-97.721326,Hands-On,Suspicious Activity,38,Hispanic,Female,40,Male,2,Yes,None,Yes
UOF-04437,2021-02-07,08:33:00,2021-02-07 08:33:00,30.236207,-97.800226,Hands-On,Suspicious Activity,42,Hispanic,Male,44,Female,8,Yes,Moderate,No
UOF-03412,2021-02-07,19:23:00,2021-02-07 19:23:00,30.364588,-97.759436,Baton,Disturbance Call,47,White,Female,48,Male,3,Yes,Minor,Yes
UOF-03615,2021-02-07,23:46:00,2021-02-07 23:46:00,30.239072,-97.838033,Hands-On,Suspicious Activity,47,Black,Female,43,Male,9,No,None,Yes
UOF-01418,2021-02-08,02:17:00,2021-02-08 02:17:00,30.168784,-97.754549,Hands-On,Suspicious Activity,49,White,Male,46,Male,3,No,Minor,Yes
UOF-00630,2021-02-08,06:59:00,2021-02-08 06:59:00,30.220053,-97.819784,Hands-On,Mental Health Crisis,33,White,Male,36,Female,3,No,None,Yes
UOF-00635,2021-02-08,11:37:00,2021-02-08 11:37:00,30.235939,-97.766689,Hands-On,Mental Health Crisis,60,Black,Male,35,Male,9,No,None,Yes
